species	specieskey	year	month	countrycode	occurrences
Arenaria interpres	2481776	2022	9	DE	97
Aix sponsa	2498387	2022	3	FR	7
Tringa nebularia	2481726	2017	6	DE	5
Larus fuscus	2481174	2018	6	DE	26
Prunella collaris	5231770	2022	8	FR	39
Tringa ochropus	2481728	2018	5	DE	24
Larus fuscus	2481174	2016	11	DE	12
Circus cyaneus	2480487	2017	5	DE	5
Elanus caeruleus	2480372	2017	12	FR	16
Bubo bubo	5959092	2023	2	FR	11
Fratercula arctica	2481353	2024	10	FR	10
Larus cachinnans	2481181	2016	9	FR	4
Cygnus atratus	2498344	2017	7	FR	7
Cisticola juncidis	2492822	2018	10	FR	16
Anser serrirostris	7340170	2022	12	FR	4
Rissa tridactyla	2481205	2023	12	FR	29
Podiceps auritus	2482059	2023	3	FR	8
Calidris canutus	2481765	2016	12	FR	8
Microcarbo pygmaeus	10095118	2022	2	FR	3
Bubo bubo	5959092	2019	10	FR	5
Haliaeetus albicilla	2480449	2018	3	FR	3
Emberiza cia	2491498	2021	1	DE	4
Cepphus grylle	2481312	2021	1	DE	3
Turdus pilaris	2490737	2019	9	FR	12
Sternula albifrons	5789279	2017	8	DE	3
Anthus spinoletta	2490255	2016	5	DE	8
Melanocorypha calandra	2490613	2021	5	FR	12
Anser caerulescens	2498167	2023	6	DE	1
Tringa ochropus	2481728	2018	1	DE	6
Acanthis flammea	5231630	2024	2	FR	8
Remiz pendulinus	2487385	2020	3	FR	12
Caprimulgus europaeus	8109681	2022	10	FR	2
Pluvialis apricaria	2480332	2018	4	FR	4
Gavia stellata	2481958	2020	5	FR	3
Tetrastes bonasia	2473663	2021	9	FR	4
Puffinus puffinus	5229380	2018	11	FR	2
Charadrius alexandrinus	2480311	2021	9	DE	5
Phalaropus fulicarius	5229390	2019	6	FR	1
Aix sponsa	2498387	2020	12	FR	6
Botaurus stellaris	2480910	2020	11	DE	7
Netta peposaca	2498181	2023	2	DE	2
Syrmaticus reevesii	2473477	2020	12	FR	3
Euodice malabarica	5789082	2019	7	FR	1
Galerida cristata	2490669	2023	12	DE	1
Gavia arctica	2481959	2021	6	DE	2
Euodice malabarica	5789082	2016	4	FR	3
Limosa limosa	2481685	2017	2	DE	1
Cygnus atratus	2498344	2018	9	DE	2
Aix galericulata	2498388	2016	8	FR	1
Melanitta nigra	2498247	2018	7	DE	1
Ficedula albicollis	2492601	2021	6	FR	2
Fratercula arctica	2481353	2024	1	FR	1
Tetrastes bonasia	2473663	2021	5	DE	1
Pastor roseus	5845386	2023	9	FR	1
Tachymarptis melba	2477411	2018	2	FR	1
Plectrophenax nivalis	2491719	2021	5	DE	1
Plectrophenax nivalis	2491719	2021	3	FR	1
Lophophanes cristatus	2487883	2021	5	DE	176
Podiceps cristatus	2482054	2020	4	DE	688
Bubulcus ibis	2480830	2022	2	FR	166
Calidris canutus	2481765	2023	8	FR	41
Numenius phaeopus	2481784	2020	5	FR	19
Chloris chloris	5845582	2020	5	DE	1085
Carduelis carduelis	2494686	2022	10	FR	745
Cettia cetti	2493012	2017	5	FR	181
Tadorna ferruginea	2498015	2021	5	DE	276
Larus michahellis	9413670	2024	2	FR	699
Aythya fuligula	2498261	2023	9	DE	623
Erithacus rubecula	2492462	2019	3	DE	975
Tachybaptus ruficollis	2482048	2020	4	DE	424
Picus viridis	2478523	2024	10	DE	1976
Actitis hypoleucos	2481800	2018	5	FR	211
Dryobates minor	9015784	2021	10	FR	55
Gelochelidon nilotica	2481263	2017	5	FR	45
Alca torda	8277073	2023	2	FR	25
Milvus migrans	5229167	2021	7	FR	611
Columba palumbus	2495455	2020	8	DE	1499
Tringa ochropus	2481728	2021	8	FR	362
Garrulus glandarius	5229493	2024	8	DE	1358
Dryocopus martius	2477872	2022	6	FR	65
Anas acuta	2498112	2024	10	DE	629
Aquila chrysaetos	2480506	2023	7	FR	57
Gallinula chloropus	5228199	2022	10	DE	726
Actitis hypoleucos	2481800	2021	4	FR	279
Anthus pratensis	2490266	2020	9	DE	165
Accipiter nisus	2480637	2023	10	FR	412
Spatula clypeata	8332393	2024	1	DE	178
Rissa tridactyla	2481205	2024	10	DE	157
Hieraaetus pennatus	2480685	2024	9	FR	62
Lophophanes cristatus	2487883	2017	11	FR	89
Cygnus columbianus	2498338	2024	11	DE	57
Podiceps cristatus	2482054	2023	10	FR	454
Picus viridis	2478523	2016	2	FR	116
Larus marinus	2481172	2024	6	FR	218
Acrocephalus schoenobaenus	2493129	2023	4	FR	341
Tringa totanus	2481714	2017	4	DE	50
Aythya collaris	2498264	2021	1	FR	6
Streptopelia turtur	2495708	2017	10	FR	7
Columba livia	2495414	2016	11	DE	119
Larus cachinnans	2481181	2021	9	DE	39
Anser anser	2498036	2019	1	FR	78
Picus canus	2478548	2020	3	DE	94
Thalasseus sandvicensis	2481240	2023	9	FR	348
Chlidonias hybrida	2481121	2016	4	FR	58
Emberiza schoeniclus	2491557	2016	6	DE	80
Netta rufina	2498180	2018	10	DE	31
Panurus biarmicus	2493367	2024	7	FR	25
Numenius phaeopus	2481784	2017	5	FR	48
Sylvia borin	2492942	2016	8	FR	34
Phoenicurus ochruros	5739315	2024	1	DE	110
Chloris chloris	5845582	2017	9	FR	102
Anthus trivialis	2490246	2022	10	FR	55
Anthus petrosus	2490275	2019	11	DE	18
Sylvia borin	2492942	2018	8	FR	34
Passer italiae	8426551	2024	3	FR	14
Anthus pratensis	2490266	2017	1	DE	29
Chlidonias niger	2481119	2021	4	DE	30
Calidris ferruginea	2481741	2022	10	DE	14
Anser cygnoides	2498034	2019	10	FR	4
Arenaria interpres	2481776	2019	6	FR	3
Hydrobates pelagicus	4408455	2021	5	FR	6
Poecile montanus	2487866	2017	3	FR	20
Pluvialis apricaria	2480332	2022	5	FR	5
Locustella luscinioides	2493551	2024	9	DE	7
Curruca subalpina	9478399	2020	9	FR	1
Cygnus atratus	2498344	2024	2	DE	24
Plectrophenax nivalis	2491719	2020	12	DE	2
Galerida theklae	9330514	2017	2	FR	3
Pluvialis apricaria	2480332	2017	3	DE	11
Acrocephalus paludicola	2493114	2023	4	FR	1
Puffinus mauretanicus	5229360	2017	7	FR	13
Tadorna ferruginea	2498015	2018	6	FR	5
Ptyonoprogne rupestris	4408796	2019	4	DE	5
Alca torda	8277073	2016	8	DE	1
Carduelis citrinella	2494632	2021	7	DE	7
Elanus caeruleus	2480372	2020	4	FR	4
Haliaeetus albicilla	2480449	2024	9	FR	7
Emberiza cia	2491498	2017	6	DE	4
Ardea purpurea	2480934	2017	4	DE	6
Calidris falcinellus	7537888	2024	9	FR	2
Acanthis flammea	5231630	2016	2	FR	1
Cygnus melancoryphus	2498335	2022	9	DE	1
Calidris melanotos	2481744	2021	6	DE	1
Circus aeruginosus	2480482	2020	1	DE	1
Otus scops	2497701	2016	9	FR	2
Buteo lagopus	2480524	2016	3	FR	2
Cepphus grylle	2481312	2020	8	FR	1
Aquila pomarina	2480505	2016	5	FR	3
Melanitta fusca	2498238	2017	5	DE	3
Aquila chrysaetos	2480506	2016	1	DE	1
Anas castanea	2498097	2019	9	DE	1
Calidris maritima	2481743	2018	3	DE	3
Hieraaetus pennatus	2480685	2023	4	DE	1
Calidris minuta	2481749	2020	6	DE	2
Botaurus stellaris	2480910	2016	5	FR	6
Tringa flavipes	2481721	2021	2	FR	1
Troglodytes troglodytes	5231438	2024	5	DE	3814
Vanellus leucurus	5229147	2022	5	DE	1
Coloeus monedula	6100954	2022	10	FR	600
Ardea cinerea	9797180	2021	5	DE	1852
Sylvia atricapilla	2492956	2024	1	FR	373
Fulica atra	2474377	2021	1	FR	522
Ciconia ciconia	2481912	2020	3	DE	296
Phasianus colchicus	9752149	2017	3	DE	77
Garrulus glandarius	5229493	2017	4	DE	219
Falco tinnunculus	9616058	2020	8	DE	723
Actitis hypoleucos	2481800	2024	2	FR	89
Hirundo rustica	9515886	2023	5	FR	2500
Plegadis falcinellus	2480773	2019	9	FR	27
Lophophanes cristatus	2487883	2019	8	FR	122
Dendrocopos major	2477968	2023	10	FR	783
Plegadis falcinellus	2480773	2024	8	FR	221
Falco tinnunculus	9616058	2023	6	FR	891
Picus viridis	2478523	2022	3	DE	1542
Tringa totanus	2481714	2017	8	FR	93
Corvus corax	2482492	2022	9	DE	393
Nycticorax nycticorax	2480863	2023	6	FR	184
Phalacrocorax carbo	2481890	2018	5	FR	274
Cyanistes caeruleus	2487879	2022	10	FR	1610
Columba livia	2495414	2022	7	DE	888
